studentID,dishID,orderDate,orderTime,quantity
AISY457S,10,2025-07-01,11:30,2
NGPE568T,12,2025-07-01,12:05,1
DEEP679U,8,2025-07-02,13:15,4
TEOH780V,17,2025-07-02,11:50,2
LAUR891W,3,2025-07-04,12:10,2
TANY902X,22,2025-07-03,13:00,1
AMIR013Y,10,2025-07-04,12:20,4
CHEW124Z,1,2025-07-04,11:45,2
TANM235A,14,2025-07-05,12:35,1
CHAN346B,7,2025-07-05,12:55,1
NURU567A,25,2025-07-06,13:25,3
LOWJ678B,9,2025-07-06,11:40,2
TOHP789C,16,2025-07-07,12:00,1
JASO890D,28,2025-07-07,12:30,1
FOOM901E,4,2025-07-04,13:10,2
FARA012F,25,2025-07-08,11:55,6
ANJA123G,6,2025-07-09,12:45,1
KHAI234H,13,2025-07-09,12:15,1
HENG345J,19,2025-07-10,12:50,3
DIVY456K,23,2025-07-10,12:25,2
LIMZ457W,2,2025-07-11,13:05,1
GOHW568X,25,2025-07-11,11:35,1
ADIL679Y,19,2025-07-12,12:40,2
TOHE780Z,26,2025-07-12,13:20,2
NGLI891A,18,2025-07-13,12:50,1
PRAV902B,21,2025-07-13,11:30,1
SITI013C,30,2025-07-14,13:00,5
RAVI124D,15,2025-07-14,12:10,2
LIEW235E,27,2025-07-15,12:45,1
SIMP346F,19,2025-07-15,13:15,3
